Gestion  | 2026-08-19T15:24:49.067Z  INFO 1 --- [Gestion] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-5, groupId=servicios-flota] (Re-)joining group
Gestion  | 2026-08-19T15:24:49.075Z  INFO 1 --- [Gestion] [           main] c.S.G.GestionSeguimientoApplication      : Started GestionSeguimientoApplication in 68.423 seconds (process running for 72.545)
Gestion  | 2026-08-19T15:24:49.088Z  INFO 1 --- [Gestion] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-5, groupId=servicios-flota] Request joining group due to: need to re-join with the given member-id: consumer-servicios-flota-5-5d1d8d95-60fb-4489-ae70-8a6ba02c08a0
Gestion  | 2026-08-19T15:24:49.088Z  INFO 1 --- [Gestion] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-5, groupId=servicios-flota] (Re-)joining group
Gestion  | 2026-08-19T15:25:20.167Z  INFO 1 --- [Gestion] [ner#0-dlt-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-dlt-2, groupId=servicios-flota-dlt] Successfully joined group with generation Generation{generationId=2, memberId='consumer-servicios-flota-dlt-2-91357d20-aa87-4056-8f75-8bba141faec5', protocol='range'}
Gestion  | 2026-08-19T15:25:20.176Z  INFO 1 --- [Gestion] [ner#0-dlt-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-dlt-2, groupId=servicios-flota-dlt] Finished assignment for group at generation 2: {consumer-servicios-flota-dlt-2-91357d20-aa87-4056-8f75-8bba141faec5=Assignment(partitions=[inicio-registro-conductor-dlt-0])}
Gestion  | 2026-08-19T15:25:20.187Z  INFO 1 --- [Gestion] [ner#0-dlt-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-dlt-2, groupId=servicios-flota-dlt] Successfully synced group in generation Generation{generationId=2, memberId='consumer-servicios-flota-dlt-2-91357d20-aa87-4056-8f75-8bba141faec5', protocol='range'}
Gestion  | 2026-08-19T15:25:20.188Z  INFO 1 --- [Gestion] [ner#0-dlt-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-dlt-2, groupId=servicios-flota-dlt] Notifying assignor about the new Assignment(partitions=[inicio-registro-conductor-dlt-0])
Gestion  | 2026-08-19T15:25:20.192Z  INFO 1 --- [Gestion] [ner#0-dlt-0-C-1] k.c.c.i.ConsumerRebalanceListenerInvoker : [Consumer clientId=consumer-servicios-flota-dlt-2, groupId=servicios-flota-dlt] Adding newly assigned partitions: inicio-registro-conductor-dlt-0
Gestion  | 2026-08-19T15:25:20.193Z  INFO 1 --- [Gestion] [etry-4500-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-4500-1, groupId=servicios-flota-retry-4500] Successfully joined group with generation Generation{generationId=2, memberId='consumer-servicios-flota-retry-4500-1-6f0583f2-74ad-400f-ad2e-a3d16101fbef', protocol='range'}
Gestion  | 2026-08-19T15:25:20.195Z  INFO 1 --- [Gestion] [etry-4500-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-4500-1, groupId=servicios-flota-retry-4500] Finished assignment for group at generation 2: {consumer-servicios-flota-retry-4500-1-6f0583f2-74ad-400f-ad2e-a3d16101fbef=Assignment(partitions=[inicio-registro-conductor-retry-4500-0])}
Gestion  | 2026-08-19T15:25:20.200Z  INFO 1 --- [Gestion] [etry-4500-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-4500-1, groupId=servicios-flota-retry-4500] Successfully synced group in generation Generation{generationId=2, memberId='consumer-servicios-flota-retry-4500-1-6f0583f2-74ad-400f-ad2e-a3d16101fbef', protocol='range'}
Gestion  | 2026-08-19T15:25:20.200Z  INFO 1 --- [Gestion] [etry-4500-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-4500-1, groupId=servicios-flota-retry-4500] Notifying assignor about the new Assignment(partitions=[inicio-registro-conductor-retry-4500-0])
Gestion  | 2026-08-19T15:25:20.201Z  INFO 1 --- [Gestion] [etry-4500-0-C-1] k.c.c.i.ConsumerRebalanceListenerInvoker : [Consumer clientId=consumer-servicios-flota-retry-4500-1, groupId=servicios-flota-retry-4500] Adding newly assigned partitions: inicio-registro-conductor-retry-4500-0
Gestion  | 2026-08-19T15:25:20.202Z  INFO 1 --- [Gestion] [etry-3000-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-3000-3, groupId=servicios-flota-retry-3000] Successfully joined group with generation Generation{generationId=2, memberId='consumer-servicios-flota-retry-3000-3-fc88b0e0-f0f0-4c69-a1f4-0516cc08bcbb', protocol='range'}
Gestion  | 2026-08-19T15:25:20.203Z  INFO 1 --- [Gestion] [etry-3000-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-3000-3, groupId=servicios-flota-retry-3000] Finished assignment for group at generation 2: {consumer-servicios-flota-retry-3000-3-fc88b0e0-f0f0-4c69-a1f4-0516cc08bcbb=Assignment(partitions=[inicio-registro-conductor-retry-3000-0])}
Gestion  | 2026-08-19T15:25:20.207Z  INFO 1 --- [Gestion] [etry-3000-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-3000-3, groupId=servicios-flota-retry-3000] Successfully synced group in generation Generation{generationId=2, memberId='consumer-servicios-flota-retry-3000-3-fc88b0e0-f0f0-4c69-a1f4-0516cc08bcbb', protocol='range'}
Gestion  | 2026-08-19T15:25:20.208Z  INFO 1 --- [Gestion] [etry-3000-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-3000-3, groupId=servicios-flota-retry-3000] Notifying assignor about the new Assignment(partitions=[inicio-registro-conductor-retry-3000-0])
Gestion  | 2026-08-19T15:25:20.209Z  INFO 1 --- [Gestion] [etry-3000-0-C-1] k.c.c.i.ConsumerRebalanceListenerInvoker : [Consumer clientId=consumer-servicios-flota-retry-3000-3, groupId=servicios-flota-retry-3000] Adding newly assigned partitions: inicio-registro-conductor-retry-3000-0
Gestion  | 2026-08-19T15:25:20.215Z  INFO 1 --- [Gestion] [etry-6750-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-6750-4, groupId=servicios-flota-retry-6750] Successfully joined group with generation Generation{generationId=2, memberId='consumer-servicios-flota-retry-6750-4-c8346eb3-43df-4da7-91b6-06d0645d2417', protocol='range'}
Gestion  | 2026-08-19T15:25:20.216Z  INFO 1 --- [Gestion] [etry-6750-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-6750-4, groupId=servicios-flota-retry-6750] Finished assignment for group at generation 2: {consumer-servicios-flota-retry-6750-4-c8346eb3-43df-4da7-91b6-06d0645d2417=Assignment(partitions=[inicio-registro-conductor-retry-6750-0])}
